Title,Authors,Year,Publication Link,Author Profile Links
Does self-congruity matter…,"Brahmana, R. K.; Kontesa, M",2025,https://pureportal.coventry.ac.uk/en/publications/...,https://pureportal.coventry.ac.uk/en/persons/brahmana-r-k; https://pureportal.coventry.ac.uk/en/persons/kontesa-m
Assessing the determinants of participation in the circular plastic economy by Nigerian students,"Okoya, S. A., Oyinlola, M., Ajala, O., Kolade, O., Adefila, A. & Akinlabi, E.",2-Jan-25,https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast-2,https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala
Does self-congruity matter for virtual influencer’s non-fungible token (NFT) purchase intentions? The role of financial literacy,"Brahmana, R. K. & Kontesa, M",14-Jan-25,https://pureportal.coventry.ac.uk/en/publications/does-self-congruity-matter-for-virtual-influencers-non-fungible-t,https://pureportal.coventry.ac.uk/en/persons/boying-xu
Does the corporate governance index matter for company zombification?,"Brahmana, R. K. & Setiawan",22-Jan-25,https://pureportal.coventry.ac.uk/en/publications/does-the-corporate-governance-index-matter-for-company-zombificat,https://pureportal.coventry.ac.uk/en/persons/mingchen-li
Fostering Entrepreneurship and Innovation in Nigerian Universities,"Oyinlola, M., Adefila, A., Okoya, S. A., Kolade, O., Babaremu, K., Ajala, O., Tijani, B. & Akinlabi, E",Jan-25,https://pureportal.coventry.ac.uk/en/publications/fostering-entrepreneurship-and-innovation-in-nigerian-universitie,https://pureportal.coventry.ac.uk/en/persons/ahmed-usman
"Managerial Regulatory Engagement, Access to Bank Finance, and the Moderating Role of Institutional Religiosity: A Cross-country Study","Liedong, T., Aghanya, D. & Saeed, A",Jan-25,https://pureportal.coventry.ac.uk/en/publications/popular-movie-effects-on-advanced-finance-course-performance-flip,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
Mechanic Village Business Networks and Circular Economy Practices in the Automotive Industry,"Ambituuni, A., Oyinlola, M., Ajala, O., Helen, S., Esfahbodi, A. & Darrow, D.",17-Jan-25,https://pureportal.coventry.ac.uk/en/publications/success-in-cross-border-mampa-deals-can-esg-performance-be-a-coun,https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya
Popular movie effects on advanced finance course performance: flipped classroom vs in-class view,"Brahmana, R. K. & Yau, J. T. H.",17-Jan-25,https://pureportal.coventry.ac.uk/en/publications/success-in-cross-border-mampa-deals-can-esg-performance-be-a-coun,https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala
Success in cross-border M&A deals: Can ESG performance be a countervailing force against political risk?,"Xu, B. & Mulatu, A.",10-Feb-25,https://pureportal.coventry.ac.uk/en/publications/what-makes-companies-zombie-detecting-the-most-important-zombific,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
What makes companies zombie? Detecting the most important zombification feature using tree-based machine learning,"Brahmana, R. K.",25-Apr-25,https://pureportal.coventry.ac.uk/en/publications/whether-voluntary-ghg-disclosure-could-help-improve-subsequent-gh,https://pureportal.coventry.ac.uk/en/persons/abay-mulatu
Whether voluntary GHG disclosure could help improve subsequent GHG performance-new global evidence,"Li, P., Li, M., Zhu, W. & Lucey, B.",Jan-25,https://pureportal.coventry.ac.uk/en/publications/accounting-professionals-legitimacy-maintenance-of-modern-slavery,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
